user_id,friend_list
3371,[2975]
24,[2665]
4402,[38]
4295,[4694]
7087,[7117]
3981,[3937]
676,[5626]
6509,[2257]
5119,[6845]
2729,[6802]
578,"[1848, 6260]"
6055,"[730, 1103]"
670,[3732]
1796,[2876]
3773,[6147]
6745,[2278]
7126,"[4202, 5352]"
4636,[3312]
6214,[6013]
1908,[6156]
6858,[4267]
5293,[2315]
2493,"[2837, 293]"
5052,[1573]
5250,"[2559, 6252, 1386, 1994, 841]"
3721,[6013]
2441,[858]
1502,"[1400, 3474]"
5578,[4443]
1653,"[478, 458, 2946, 6311]"
3339,[534]
65,[2305]
3234,[117]
5231,[1017]
1952,[1600]
471,[115]
1485,[2361]
2989,[2340]
1925,"[5643, 620]"
2678,[2348]
458,"[1653, 2946, 6311]"
1483,[4500]
1651,[6041]
5121,"[5272, 3224]"
5272,[5121]
839,[1904]
1034,[60]
730,[6055]
3097,[5920]
2296,[6027]
1234,[2658]
4797,"[2160, 1218]"
4668,"[284, 1218, 2160]"
5412,[599]
2657,[5513]
4551,[6337]
1547,"[3564, 7033]"
3515,"[2883, 176]"
6738,[625]
1868,[4143]
1409,[6370]
931,[5430]
293,[2493]
5534,[6746]
1606,[4534]
6781,[4694]
2461,"[6252, 1770, 1994]"
7063,[6080]
4948,[4706]
3829,[5538]
1509,[5003]
2999,[5560]
334,[4808]
3457,[6304]
4836,[726]
5916,"[5114, 6699]"
990,[1102]
4808,[334]
6385,[4083]
1922,[6203]
5511,"[4986, 6020]"
115,[471]
652,[4053]
4632,[6661]
5003,[1509]
5879,[1503]
1415,[5513]
5038,[2246]
4170,[1722]
228,[4480]
6051,"[2605, 3556, 715]"
756,[5415]
1783,"[7068, 1281]"
5223,[3827]
6699,"[281, 5114, 5916]"
6684,[3569]
5033,[6275]
5735,[6597]
2975,"[4696, 3371]"
2151,[3676]
4986,[5511]
567,[5443]
1690,[3922]
6229,"[3694, 2187, 1128, 476, 6164]"
6661,[4632]
3224,[5121]
2049,[264]
4358,[213]
38,"[4402, 4264, 450, 2382]"
5932,[6679]
2876,[1796]
1718,[362]
281,"[4110, 5114, 6699]"
6027,"[264, 2296, 4892]"
5302,[1267]
5282,"[2629, 5943]"
5643,"[620, 1925]"
4680,[240]
1692,[6000]
6337,[4551]
5513,"[2657, 1415]"
4837,[356]
4267,"[6858, 1486]"
2768,[4033]
1573,[5052]
3756,[1589]
6370,[1409]
798,[363]
4930,[4741]
5894,[2023]
5626,[676]
858,[2441]
2389,[3833]
4694,"[6781, 4295]"
6845,[5119]
3054,[2431]
5941,"[5262, 4000]"
3304,[4480]
1060,[1639]
4074,[4794]
143,"[2453, 1583]"
3676,[2151]
1385,[6600]
7075,[5644]
1959,"[67, 5065]"
1223,[426]
2257,[6509]
1017,"[4738, 5231]"
1848,"[578, 6260]"
4083,[6385]
4730,[264]
193,[5241]
3569,[6684]
1737,[2697]
4696,[2975]
4052,[3698]
518,[265]
2305,[65]
6866,"[2212, 4925]"
748,"[2431, 3252]"
5778,[4600]
7117,[7087]
6252,"[5250, 2461]"
426,[1223]
3644,[5758]
726,[4836]
3665,[4541]
7174,[6571]
5525,[2809]
2605,"[6051, 3556, 715]"
4602,[4908]
4053,[652]
2629,"[5282, 5943]"
94,[5523]
4741,[4930]
7121,[295]
1128,"[6229, 3694, 2187, 476, 6164]"
2160,"[284, 1218, 4668, 4797]"
6597,"[4762, 3102, 5735]"
1792,[4987]
2683,[5943]
4264,"[450, 38, 2382]"
256,[2710]
6439,[4843]
253,[1688]
3601,[1861]
2865,[3837]
5365,[2205]
3903,[2059]
6311,"[458, 1653, 2946]"
5158,"[6685, 6384]"
2870,[765]
3793,[6392]
5201,[881]
6396,[106]
3102,"[4762, 6597]"
5943,"[2629, 2201, 745, 5282, 2683]"
2152,[2219]
3837,[2865]
2475,[2963]
2924,[2465]
6304,[3457]
870,"[2901, 2438]"
528,[4134]
3564,[1547]
3936,"[2024, 2415, 2196]"
1907,[495]
6929,"[2929, 871]"
1727,[1784]
625,[6738]
284,"[2160, 4668, 1218]"
306,[3222]
6306,[6802]
2665,[24]
2094,[4455]
5333,[3672]
2842,[2883]
4925,[6866]
1113,[7033]
772,[6255]
2438,"[870, 2901]"
2187,"[6229, 3694, 1128, 476, 6164]"
4908,[4602]
2246,[5038]
4738,[1017]
2453,[143]
2205,[5365]
2559,"[1386, 5250]"
2524,[5738]
5758,[3644]
3252,"[1751, 748, 2431]"
1904,[839]
3354,"[86, 5547]"
6147,[3773]
1503,[5879]
4345,[2331]
4534,[1606]
1861,[3601]
2382,"[4264, 38]"
264,"[4730, 4892, 2049, 6027]"
2809,[5525]
2901,"[870, 2438]"
4658,[6926]
6384,"[6685, 5158]"
7161,[946]
4987,[1792]
5342,[5364]
4505,[962]
295,[7121]
2023,[5894]
2091,[2778]
4110,"[281, 5114]"
5484,"[368, 1542, 2447]"
2315,[5293]
1400,"[1502, 3474]"
2196,"[2024, 3936, 2415]"
3577,"[2736, 2499]"
2658,[1234]
2348,[2678]
1832,[4455]
745,[5943]
5182,[2920]
946,[7161]
5994,[5972]
6260,"[1848, 578]"
1432,[369]
2697,[1737]
4552,[4243]
476,"[6229, 3694, 2187, 1128, 6164]"
2219,"[4756, 4310, 6759, 1135, 2152]"
6275,[5033]
6232,[4317]
5744,[4659]
2125,[1013]
4243,[4552]
2499,[3577]
5415,[756]
2946,"[458, 1653, 6311]"
6285,[3284]
6961,[2679]
363,[798]
3222,[306]
389,"[5777, 962]"
2465,[2924]
841,"[1386, 1994, 5250]"
2198,[1608]
1600,[1952]
2212,[6866]
4541,[3665]
495,[1907]
1542,"[2447, 5484, 368]"
18,[1221]
3833,[2389]
6746,[5534]
599,[5412]
5443,[567]
3698,[4052]
1103,[6055]
7033,"[1547, 1113]"
871,[6929]
202,[3335]
6013,"[3721, 6214]"
6392,[3793]
5777,"[962, 2133, 389, 2360]"
1102,[990]
5560,[2999]
4843,[6439]
2929,[6929]
356,[4837]
5636,[4630]
2736,[3577]
3694,"[6229, 2187, 1128, 476, 6164]"
765,[2870]
450,"[4264, 38]"
2278,[6745]
6685,"[5158, 6384]"
6203,"[1922, 4728]"
2727,[5992]
2568,[2890]
3284,[6285]
237,[5646]
5523,[94]
4143,[1868]
6020,[5511]
2360,"[5777, 962]"
7147,[6846]
3937,[3981]
5262,"[5941, 4000]"
2837,[2493]
2361,[1485]
67,"[1959, 5065]"
2800,[4010]
3556,"[6051, 2605, 715]"
1639,[1060]
3922,[1690]
1751,[3252]
5849,[6936]
620,"[5643, 1925]"
1267,[5302]
4630,[5636]
1332,[6163]
2447,"[5274, 368, 1542, 5484]"
2679,[6961]
6936,[5849]
4657,[962]
1181,[3832]
1386,"[1770, 5250, 841, 2559]"
2201,[5943]
6255,[772]
6600,[1385]
4383,[809]
1013,[2125]
1028,[4673]
5972,[5994]
1770,"[1386, 2461]"
4010,[2800]
1784,[1727]
5314,[240]
4310,"[6759, 2219]"
6679,[5932]
1447,[3882]
1994,"[5250, 841, 2461]"
3832,[1181]
4659,[5744]
4892,"[264, 6027]"
6926,[4658]
1135,[2219]
2390,"[1924, 4450]"
793,[3336]
5690,[1078]
5649,[5646]
7068,"[1281, 1783]"
4202,"[7126, 5352]"
2920,[5182]
3336,[793]
5241,[193]
176,"[2883, 3515]"
4455,"[1832, 2094]"
3474,"[1502, 1400]"
2431,"[3252, 3054, 748]"
2883,"[2842, 3515, 176]"
5079,[2059]
881,[5201]
5644,[7075]
843,[2694]
4356,[2650]
240,"[4680, 5314]"
809,[4383]
106,[6396]
1688,[253]
265,[518]
4000,"[5262, 5941]"
6164,"[6229, 3694, 2187, 1128, 476]"
1170,"[2611, 6668]"
1722,[4170]
213,[4358]
3827,[5223]
4443,[5578]
116,[2979]
4600,[5778]
2778,[2091]
6759,"[4310, 2219]"
4756,[2219]
5920,[3097]
4673,[1028]
1221,[18]
2650,[4356]
369,[1432]
5274,[2447]
2694,[843]
2979,[116]
2890,[2568]
3672,[5333]
1486,[4267]
6000,[1692]
2710,[256]
4134,[528]
4500,[1483]
2133,[5777]
534,[3339]
4033,[2768]
1078,[5690]
1608,[2198]
4706,[4948]
4480,"[228, 3304]"
368,"[1542, 2447, 5484]"
5364,[5342]
4317,[6232]
5538,[3829]
6156,[1908]
3882,[1447]
5646,"[5649, 237]"
6571,[7174]
1583,[143]
5114,"[281, 4110, 5916, 6699]"
117,[3234]
2611,"[6668, 1170]"
6668,"[2611, 1170]"
2963,[2475]
60,[1034]
4728,[6203]
478,[1653]
2340,[2989]
1589,[3756]
5738,[2524]
86,[3354]
962,"[5777, 389, 4657, 2360, 4505]"
2059,"[3903, 5079]"
1924,"[2390, 4450]"
5547,[3354]
2415,"[2024, 3936, 2196]"
6846,[7147]
715,"[2605, 6051, 3556]"
6041,[1651]
362,[1718]
5065,"[67, 1959]"
4450,"[2390, 1924]"
5430,[931]
6080,[7063]
5992,[2727]
1281,"[7068, 1783]"
4762,"[3102, 6597]"
3312,[4636]
2024,"[3936, 2415, 2196]"
4794,[4074]
6802,"[2729, 6306]"
1218,"[2160, 4797, 4668, 284]"
2331,[4345]
6163,[1332]
3732,[670]
3335,[202]
5352,"[4202, 7126]"
